,City,Lat,lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,86.0,74,20,6.91,TO,1619224097
1,Carnarvon,-24.8667,113.6333,68.0,56,1,8.05,AU,1619224097
2,Vostok,46.4856,135.8833,36.77,97,100,3.91,RU,1619224098
3,Bredasdorp,-34.5322,20.0403,50.0,93,95,2.75,ZA,1619223932
4,Örnsköldsvik,63.2909,18.7153,33.8,60,90,16.11,SE,1619224100
5,Rikitea,-23.1203,-134.9692,79.09,69,100,18.16,PF,1619224100
6,Mar del Plata,-38.0023,-57.5575,69.01,88,75,6.91,AR,1619223935
7,Shelburne,44.0787,-80.2041,57.2,33,1,5.75,CA,1619224101
8,Qaanaaq,77.484,-69.3632,18.12,84,100,5.73,GL,1619224101
9,Hasaki,35.7333,140.8333,62.01,63,20,3.44,JP,1619224101
10,Busselton,-33.65,115.3333,64.0,71,95,1.99,AU,1619224102
11,Aklavik,68.2191,-135.0107,39.2,45,75,3.44,CA,1619224102
12,Chui,-33.6971,-53.4616,66.47,86,11,12.41,UY,1619224102
13,Broken Hill,-31.95,141.4333,60.8,51,85,8.05,AU,1619224103
14,Barcelos,41.5388,-8.6151,59.0,94,75,8.05,PT,1619223905
15,Seka,17.9285,103.9552,88.0,70,56,6.53,TH,1619224106
16,Castro,-24.7911,-50.0119,55.94,73,14,3.04,BR,1619224107
17,Hithadhoo,-0.6,73.0833,82.33,71,20,7.72,MV,1619224108
18,Geraldton,-28.7667,114.6,64.4,63,75,6.91,AU,1619224109
19,Esperance,-33.8667,121.9,57.2,88,100,11.5,AU,1619224109
20,Punta Arenas,-53.15,-70.9167,44.6,93,40,3.44,CL,1619224001
21,Łęczna,51.3012,22.8814,33.8,100,0,8.05,PL,1619224110
22,Bengkulu,-3.8004,102.2655,74.16,88,96,3.6,ID,1619224110
23,Mataura,-46.1927,168.8643,55.0,78,76,3.0,NZ,1619224111
24,Piaçabuçu,-10.4056,-36.4344,78.26,82,51,6.78,BR,1619224111
25,Beloha,-25.1667,45.05,70.0,73,5,11.7,MG,1619224111
26,Yangi Marg`ilon,40.4272,71.7189,48.2,61,37,4.61,UZ,1619224112
27,North Bend,43.4065,-124.2243,54.0,71,75,6.91,US,1619224112
28,Cidreira,-30.1811,-50.2056,70.65,79,1,17.4,BR,1619224112
29,Avarua,-21.2078,-159.775,82.4,74,40,20.71,CK,1619224112
30,Tieling,42.2931,123.8414,58.53,68,85,11.23,CN,1619224113
31,Ushuaia,-54.8,-68.3,42.8,93,75,10.36,AR,1619224067
32,Ardeşen,41.1911,40.9875,50.0,93,0,3.44,TR,1619224114
33,Kuvshinovo,57.0295,34.1725,33.6,85,91,3.58,RU,1619224115
34,Toba,34.4833,136.85,62.01,82,100,7.0,JP,1619224115
35,Boende,-0.2167,20.8667,71.92,98,100,3.56,CD,1619224115
36,Hilo,19.7297,-155.09,82.4,51,75,11.5,US,1619224115
37,Kapaa,22.0752,-159.319,78.8,65,40,14.97,US,1619224116
38,Cape Town,-33.9258,18.4232,59.0,82,0,9.22,ZA,1619224116
39,Presidente Médici,-11.1753,-61.9014,74.07,90,17,2.59,BR,1619224116
40,Hobart,-42.8794,147.3294,57.2,62,75,12.66,AU,1619223898
41,Pevek,69.7008,170.3133,16.12,86,54,0.38,RU,1619224117
42,Cascais,38.6979,-9.4215,62.01,91,45,15.66,PT,1619224118
43,Port-Cartier,50.0334,-66.8654,35.01,100,90,4.61,CA,1619224118
44,Yerbogachën,61.2767,108.0108,34.12,73,70,7.9,RU,1619224118
45,Sobolevo,54.4299,31.8996,33.24,84,42,5.03,RU,1619224119
46,Dikson,73.5069,80.5464,32.2,97,100,16.37,RU,1619224119
47,Puerto Ayora,-0.7393,-90.3518,77.0,95,43,5.01,EC,1619224119
48,Vestmannaeyjar,63.4427,-20.2734,46.31,89,100,18.07,IS,1619224119
49,Kavieng,-2.5744,150.7967,81.66,75,97,3.76,PG,1619224120
50,Hermanus,-34.4187,19.2345,55.0,90,85,1.01,ZA,1619224120
51,Nikolskoye,59.7035,30.7861,37.0,86,40,2.24,RU,1619224120
52,Albany,42.6001,-73.9662,55.4,37,1,9.22,US,1619224121
53,Doda,33.1333,75.5667,48.34,76,3,6.4,IN,1619224121
54,Wellington,-41.2866,174.7756,68.0,49,7,13.8,NZ,1619223889
