,City,Lat,lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cape Town,-33.9258,18.4232,61.0,88,0,8.05,ZA,1619557323
1,Mogadishu,2.0371,45.3438,82.87,75,39,10.92,SO,1619557536
2,Qaanaaq,77.484,-69.3632,38.46,93,100,5.23,GL,1619557536
3,San Juan,-31.5375,-68.5364,79.56,24,0,4.56,AR,1619557380
4,Meiktila,20.8667,95.8667,78.78,64,30,9.48,MM,1619557537
5,Jalu,29.0331,21.5482,77.85,16,0,10.38,LY,1619557455
6,Gigmoto,13.7796,124.39,76.26,77,100,5.55,PH,1619557326
7,Chokurdakh,70.6333,147.9167,24.39,88,100,1.99,RU,1619557538
8,Hithadhoo,-0.6,73.0833,82.35,65,99,1.5,MV,1619557538
9,Atuona,-9.8,-139.0333,79.59,71,96,14.27,PF,1619557420
10,Saint-Philippe,-21.3585,55.7679,75.2,88,0,3.44,RE,1619557539
11,Itarema,-2.9248,-39.9167,79.7,78,19,12.93,BR,1619557539
12,Tasiilaq,65.6145,-37.6368,37.4,75,75,16.11,GL,1619557441
13,Mar del Plata,-38.0023,-57.5575,68.0,56,0,10.36,AR,1619557539
14,Mendota,36.7536,-120.3816,69.8,30,1,11.41,US,1619557540
15,São João da Barra,-21.6403,-41.0511,77.0,88,90,5.75,BR,1619557540
16,Douentza,14.9951,-2.9517,95.95,14,50,2.68,ML,1619557540
17,Sitka,57.0531,-135.33,48.2,61,90,13.8,US,1619557540
18,Nikolskoye,59.7035,30.7861,36.0,75,0,2.24,RU,1619557541
19,Hobart,-42.8794,147.3294,48.2,87,0,9.22,AU,1619557409
20,Örnsköldsvik,63.2909,18.7153,28.4,100,90,2.3,SE,1619557541
21,Faanui,-16.4833,-151.75,81.5,72,21,9.75,PF,1619557541
22,Bredasdorp,-34.5322,20.0403,57.2,82,100,3.44,ZA,1619557542
23,Butaritari,3.0707,172.7902,82.24,77,66,11.81,KI,1619557542
24,Pacific Grove,36.6177,-121.9166,63.0,55,40,13.8,US,1619557542
25,Kontagora,10.3999,5.4695,90.03,33,95,5.53,NG,1619557543
26,Port Alfred,-33.5906,26.891,64.96,83,56,12.01,ZA,1619557543
27,Torrevieja,37.9787,-0.6822,63.0,84,41,4.76,ES,1619557543
28,Klaksvík,62.2266,-6.589,41.0,87,75,6.91,FO,1619557544
29,Faya,18.3851,42.4509,57.2,88,0,4.61,SA,1619557544
30,Tagusao,9.1924,117.8141,78.6,84,53,4.88,PH,1619557545
31,Mataura,-46.1927,168.8643,45.0,82,100,7.0,NZ,1619557418
32,Punta Arenas,-53.15,-70.9167,46.4,87,90,3.44,CL,1619557545
33,Hong Kong,22.2855,114.1577,75.0,91,96,10.56,HK,1619557274
34,Albany,42.6001,-73.9662,66.99,21,93,2.06,US,1619557546
35,Rikitea,-23.1203,-134.9692,77.54,70,1,9.71,PF,1619557546
36,Kenai,60.5544,-151.2583,57.2,28,1,6.91,US,1619557546
37,Tual,-5.6667,132.75,82.96,63,56,4.88,ID,1619557276
38,Busselton,-33.65,115.3333,55.0,97,30,3.33,AU,1619557428
39,Shingū,33.7333,135.9833,60.53,85,100,4.68,JP,1619557546
40,Ushuaia,-54.8,-68.3,42.8,93,75,0.65,AR,1619557547
41,Imola,44.3523,11.7158,54.0,90,100,2.19,IT,1619557547
42,Vaini,-21.2,-175.2,73.4,88,75,17.27,TO,1619557548
43,Tateyama,34.9833,139.8667,55.99,82,75,3.44,JP,1619557317
44,Waingapu,-9.6567,120.2641,72.12,76,36,6.06,ID,1619557548
45,Cherskiy,68.75,161.3,19.47,89,41,8.75,RU,1619557549
46,Khāsh,28.2211,61.2158,71.96,22,42,1.36,IR,1619557549
47,Saint-Joseph,-21.3667,55.6167,75.2,88,0,3.44,RE,1619557549
48,Phulbāni,20.4667,84.2333,77.34,45,0,3.62,IN,1619557549
49,Norman Wells,65.282,-126.8329,23.0,33,75,8.05,CA,1619557550
50,Airai,-8.9266,125.4092,56.07,70,11,1.48,TL,1619557328
51,Severo-Kuril'sk,50.6789,156.125,34.09,95,100,17.58,RU,1619557550
52,Coyhaique,-45.5752,-72.0662,55.4,54,75,11.5,CL,1619557550
53,Lompoc,34.6391,-120.4579,62.6,55,1,20.71,US,1619557551
54,Macklin,52.3334,-109.9348,50.0,29,80,11.5,CA,1619557551
55,Geraldton,-28.7667,114.6,55.4,82,19,3.44,AU,1619557552
56,Avarua,-21.2078,-159.775,80.6,83,75,10.36,CK,1619557552
57,Atar,20.5169,-13.0499,86.74,18,83,11.03,MR,1619557552
58,Turukhansk,65.8167,87.9833,34.81,83,100,14.74,RU,1619557553
59,Dikson,73.5069,80.5464,31.87,97,100,16.96,RU,1619557456
60,Coahuayana Viejo,18.7333,-103.6833,87.8,42,40,11.5,MX,1619557553
61,Hilo,19.7297,-155.09,84.2,54,1,9.22,US,1619557436
62,Ketchikan,55.3422,-131.6461,46.4,87,90,14.97,US,1619557354
63,Port Elizabeth,-33.918,25.5701,60.8,82,20,13.8,ZA,1619557554
64,Ponta do Sol,32.6667,-17.1,60.01,81,100,1.99,PT,1619557554
